objectid,title,alternative title,creator,location,date,influence direction,cultural elements,depicted objects,time period and styles,medium and technique,descripton,signficance,related work,filename,format,filesize,source,identifier,rightsstatement
met_56_1872,The Japanese Robe,-,"Stevens, Alfred, 1823-1906",Belgium,1872,Japanese influence on Western art,kimono; uchiwas,woman; mirror; fan; furniture,Japonisme; realism (artistic form of expression); Late Victorian,oil painting; canvas,A woman in a blue kimono stands before a mirror with her back to the viewer and only partially revealing her face as she examines herself.,"Exemplifies how Japanese objects and fashion were incorporated into European art, often detached from authentic context.",Japanese Man ,The Japanese Robe.jpeg,image/jpeg,1.41 MB,The Metropolitation Museum of Art (MET),87.15.56,https://creativecommons.org/publicdomain/zero/1.0/
met_28_1898,Lily,-,"Dow, Arthur W. (Arthur Wesley), 1857-1922",America,1898,Japanese influence on Western art,-,flowers,Japonisme; Arts and Crafts (movement),prints; color woodblock,A vertically oriented composition of a stylized lily with bold outlines and flattened color fields,Demonstrates how Western artists applied Japanese mediums as a way to express art.,-,Lily.jpeg,image/jpeg,556 KB,The Metropolitation Museum of Art (MET),2016.428,https://creativecommons.org/publicdomain/zero/1.0/
saam_17_1893,Japanese Man ,-,"Shindler, A. Zeno (Antonio Zeno), 1823-1899",America,1893,Japanese influence on Western art,pagoda; katana; samurai; montsuki,landscape; man; sword,Japonisme; realism (artistic form of expression),oil painting; canvas,"A traditionally dressed Japanese man, samurai, stands in a landscape holding a sword.",Reveals Western perceptions of Japan as both traditional and exotic during a period of increasing contact.,The Japanese Robe,Japanese Man.jpeg,image/jpeg,1.06 MB,Smithsonian American Art Museum (SAAM),saam_1985.66.165_717,https://creativecommons.org/publicdomain/zero/1.0/
met_67.539.201_1881,Japonisme,-,"Somm, Henry, 1844-1907",France,1881,Japanese influence on Western art,folding fan; paper lantern; bonnet; western dresses,woman; men; fantasy; books,Japonisme; Impressionists (artists),drawing; drypoint,"A Western woman is juxtaposed with Japanese motifs, people, and architecture.","Encapsulates the European craze for Japanese art, known as Japonisme, which reshaped Western visual culture",-,Japonisme.jpeg,image/jpeg,1.47 MB,The Metropolitation Museum of Art (MET),67.539.201,https://creativecommons.org/publicdomain/zero/1.0/
aic_41_1900,Water Lily Pond ,-,"Monet, Claude, 1840-1926",France,1900,Japanese influence on Western art,japanese garden; water lilies,bridge; pond; plants; landscape,Japonisme; Impressionist (style) ,oil painting; canvas,A pond with water lilies and a curved bridge fills the composition.,inspired by Japanese garden design and visual principles,The Child’s Bath ,Water Lily Pond.jpeg ,image/jpeg,1.37 MB,Art Institute of Chicao (AIC),1933.441,https://creativecommons.org/publicdomain/zero/1.0/
aic_02_1893,The Child’s Bath ,-,"Cassatt, Mary, 1844-1926",America,1893,Japanese influence on Western art,western dresses; Japanese printmaking styles,washbowls; woman; child,Japonisme; Impressionist (style) ,oil painting; canvas,A mother washes a child in an intimate domestic scene,"inspired by Japanese woodblock prints, demonstrating their impact on Impressionist technique",Water Lily Pond ,The Child’s Bath.jpeg,image/jpeg,717 KB,Art Institute of Chicao (AIC),1910.2,https://creativecommons.org/publicdomain/zero/1.0/
met_21.65.8_1886,Noh Dancer,-,"La Farge, John, 1880-1963",America,1886,Japanese influence on Western art,folding fan; kimono; Noh,musical theater; man; dancers,Japonisme; Impressionists (artists),drawing; wood engraving on Japan tissue,A Noh dancer in elaborate costume poses with a folding fan in a theatrical setting.,Conveys how Western audiences were intereted Japanese traditions and further fascination with Japanese aesthetics.,-,Noh Dancer.jpeg,image/jpeg,2.21 MB,The Metropolitation Museum of Art (MET),21.65.8,https://creativecommons.org/publicdomain/zero/1.0/
met_56.13_1888,The Flowering Orchard,-,"Gogh, Vincent van, 1853-1890",Netherlands,1888,Japanese influence on Western art,Japanese printmaking styles,orchards; landscape,Japonisme; Post-Impressionist ,oil painting; canvas,A orchard scene rendered with expressive brushwork and simplified forms.,"reflects his study of Japanese prints, particularly their flat color areas and emphasis on nature",Flowering Plum Orchard,The Flowering Orchard.jpeg,image/jpeg,395 KB,The Metropolitation Museum of Art (MET),56.13,https://creativecommons.org/publicdomain/zero/1.0/
vangoghmuseum_62_1887,Flowering Plum Orchard,-,"Gogh, Vincent van, 1853-1890",Netherlands,1887,Japanese influence on Western art,plum tree; japanese language,blossoms; orchards; figures; landscape,Japonisme; Post-Impressionist ,oil painting; canvas,A direct reinterpretation of Hiroshige’s composition with intensified color and added decorative borders.,"Demonstrates the deep interest in Japanese work, mimicing characters and styles",The Flowering Orchard; Plum Garden at Kameido ,Flowering Plum Orchard.jpeg,image/jpeg,112 KB,"Van Gogh Museum, Amsterdam (Vincent van Gogh Foundation)",s0115V1962,http://rightsstatements.org/vocab/InC-NC/1.0/
aic_52_1858,Plum Garden at Kameido ,亀戸梅屋舗,"Andō, Hiroshige, 1797-1858",Japan,1858,Western influence on Japanese art,plum tree,blossoms; orchards; figures; landscape,Edo (Japanese period); ukiyo-e,prints; color woodblock,"A close-up composition of a flowering plum tree dominates the foreground, with figures and a garden beyond.","influenced Western artists like Van Gogh and Monet, shaping modern composition",Flowering Plum Orchard,Plum Garden at Kameido.jpeg,image/jpeg,848 KB,Art Institute of Chicao (AIC),1925.3752,https://creativecommons.org/publicdomain/zero/1.0/
met_37_1887,Peaceful Pleasures of the Highest Nobility,共楽泰平貴顕図,"Inoue, Yasuji, 1864-1889",Japan,1887,Western influence on Japanese art,western dresses; military uniform; straw hats (sun hats),women; children; men; toys; books; furniture; garden,Meiji; ukiyo-e,prints; nishiki-e,"A multi-panel composition showing women, men, and children in a transition between exterior to interior  environment.",Illustrates Japan’s selective adoption of Western culture during modernization.,-,Peaceful Pleasures.jpeg,image/jpeg,426 KB,The Metropolitation Museum of Art (MET),JP3337,https://creativecommons.org/publicdomain/zero/1.0/
